brand,processor_brand,processor_name,ram_gb,ram_type,ssd_gb,hdd_gb,os,os_bit,graphic_card_gb,weight,warranty_years,Touchscreen,msoffice,Price_USD,rating_stars,Number of Ratings,Number of Reviews,,,
HP,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,489,4,1096,116,,,
Dell,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,516,4,313,35,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,Casual,0,No,No,456,4,7,0,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,1,No,Yes,455.88,3,265,46,,,
HP,Intel,Core i3,8,DDR4,0,1024,Windows,64,2,Casual,0,No,No,591.35,4,38,3,,,
Lenovo,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,467.99,3,7,2,,,
Asus,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,498,3,4,0,,,
Acer,Intel,Core i3,4,DDR4,0,1024,Windows,32,0,Casual,0,No,No,443.99,3,0,0,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,514.8,3,0,0,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,257.88,3,818,113,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,32,0,Casual,0,No,No,497.76,3,25,4,,,
Asus,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,Casual,0,No,No,395.88,2,12,0,,,
Asus,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,Casual,1,No,No,464.16,3,17,1,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,287.88,4,974,170,,,
Dell,Intel,Core i3,8,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,484.68,3,83,15,,,
Asus,Intel,Core i3,4,DDR4,0,1024,Windows,64,0,ThinNlight,0,No,No,407.88,3,31,6,,,
Asus,Intel,Celeron Dual,4,LPDDR4,0,512,Windows,32,0,Casual,0,No,No,245.88,3,637,91,,,
Dell,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,497.88,5,7,5,,,
Dell,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,545.88,4,207,16,,,
Dell,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,533.88,4,844,103,,,
Asus,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,Casual,1,No,Yes,502.68,4,53,6,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,515.88,4,62,7,,,
Acer,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,Casual,0,No,No,491.88,4,38,2,,,
Dell,Intel,Core i3,8,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,No,587.88,4,724,92,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,ThinNlight,1,No,Yes,523.08,3,0,0,,,
Dell,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,Casual,1,No,No,536.28,4,9,0,,,
Asus,Intel,Core i3,4,DDR4,256,1024,Windows,64,0,Casual,0,No,No,491.88,3,0,0,,,
